ID,author
10732879,Hisao Ishibuchi
10732880,Yusuke Nojima
10732882,Lyndon J. B. Nixon
10732931,Shatha Jaradat
10732932,Nima Dokoohaki
10732995,Angelo Cangelosi
10732997,Kun Wang
10733013,Spyros Kotoulas
10733030,Yang Liu
10733042,Kevin M. Passino
10733051,Enrico Motta
10733112,Nigel Shadbolt
10733136,Mark E. Kotanchek
10733158,Mariella Dimiccoli
10733248,Athanasios V. Vasilakos
10733332,Athanasios N. Nikolakopoulos
10733339,Peter Tiño
10733372,Igor Skrjanc
10733458,Dorothea Pantförder 0001
10733544,Sigurd Skogestad
10733547,Alessandro Astolfi
10733558,Håkan Hjalmarsson
10733568,Jorge Otávio Trierweiler
10733592,John M. Wassick
10733607,Asuman E. Ozdaglar
10733608,Daniel Limón
10733616,Tore Hägglund
10733627,Peter Benner
10733631,Moritz Diehl
10733648,Sebastián Dormido 0001
10733649,Antonio Visioli
10733676,Thomas A. Badgwell
10733677,Si-Zhao Joe Qin
10733680,Ramesh Johari
10733683,Dominique Bonvin
10733693,Abel Cadenillas
10733696,Tongwen Chen
10733705,Ali Jadbabaie
10733718,Steffen Waldherr
10733719,Frank Allgöwer
10733768,César de Prada
10733769,James B. Rawlings
10733773,Sebastian Engell
10733846,Fatemeh Zahedi
10733974,Waldemar Karwowski
10733980,Günter Neumann
10733989,Theodore L. Turocy
10734009,Nello Cristianini
10734053,Jie Liang
10734139,Constantinos Daskalakis
10734140,S. Matthew Weinberg
10734142,Xi Chen
10734147,Moshe Babaioff
10734279,Akihisa Tamura
